int	string
id	word
主键	屏蔽词
433	令计划
434	灵灵派
435	金三胖
436	阿鲁纳恰尔邦
437	真主安拉
438	杨尚昆
439	东伊运
440	六四
441	六四运动
442	美国之音
443	密宗
444	民国
445	民进党
446	民运
447	民主
448	民主潮
449	摩门教
450	纳粹
451	南华早报
452	南蛮
453	明慧网
454	起义
455	亲民党
456	瘸腿帮
457	人民报
458	法轮功
459	法轮大法
460	打倒共产党
461	台独万岁
462	圣战
463	示威
464	台独
465	台独分子
466	台联
467	台湾民国
468	台湾岛国
469	台湾国
470	台湾独立
471	太子党
472	天安门事件
473	屠杀
474	小泉
475	新党
476	新疆独立
477	新疆分裂
478	新疆国
479	疆独
480	西藏独立
481	西藏分裂
482	西藏国
483	藏独
484	藏青会
485	藏妇会
486	学潮
487	学运
488	一党专政
489	一中一台
490	两个中国
491	一贯道
492	游行
493	圆满
494	造反
495	真善忍
496	镇压
497	政变
498	政治
499	政治反对派
500	政治犯
501	中共
502	共产党
503	反党
504	反共
505	政府
506	民主党
507	中国之春
508	转法轮
509	自焚
510	共党
511	共匪
512	苏家屯
513	基地组织
514	塔利班
515	东亚病夫
516	支那
517	高治联
518	高自联
519	专政
520	专制
521	陆肆事件
522	九评
523	gongchandang
524	一党独裁
525	核工业基地
526	核武器
527	铀
528	原子弹
529	氢弹
530	导弹
531	核潜艇
532	大参考
533	小参考
534	国内动态清样
535	内蒙古抗议
536	内蒙古5.11
537	内蒙古5.11事件
538	内蒙古锡林郭勒盟
539	毛主席
540	3P
541	处女
542	奸杀
543	K粉
544	任弼时
545	房事
546	3p
547	新闻出版总署
548	钓鱼岛
549	钓鱼台
550	钓鱼岛事件
551	钓鱼岛争端
552	钓鱼岛国有化
553	抵制日货
554	打砸日货
555	暴力爱国
556	日本狗
557	打倒日本
558	购钓鱼岛
559	中共十八大
560	十八大
561	十八大代表选举
562	拉票贿选
563	薄谷开来
564	薄瓜瓜
565	张晓军
566	杨达才
567	李德金
568	表叔厅长
569	跨省毁报
570	跨省删帖
571	名表门
572	眼镜门
573	日本右翼分子
574	野田佳彦
575	玄叶光一郎
576	石原慎太郎
577	汪洋
578	国务院
579	中央军委
580	中共中央政治局
581	中央政治局常委
582	中央政法委
583	中宣部
584	中纪委
585	统战部
586	总参谋部
587	中国人民解放军
588	18大
589	习近平
590	李克强
591	张德江
592	俞正声
593	刘云山
594	王岐山
